age_and_district,both_sexes,district,gender,population
0-4,45966,Ngororero,female,23278
0-4,45966,Ngororero,male,-22688
5-9,51005,Ngororero,female,25607
5-9,51005,Ngororero,male,-25398
10-14,47490,Ngororero,female,23842
10-14,47490,Ngororero,male,-23648
15-19,43506,Ngororero,female,22054
15-19,43506,Ngororero,male,-21452
20-24,29384,Ngororero,female,15815
20-24,29384,Ngororero,male,-13569
25-29,24027,Ngororero,female,13017
25-29,24027,Ngororero,male,-11010
30-34,23465,Ngororero,female,12732
30-34,23465,Ngororero,male,-10733
35-39,23896,Ngororero,female,13200
35-39,23896,Ngororero,male,-10696
40-44,20025,Ngororero,female,11639
40-44,20025,Ngororero,male,-8386
45-49,12467,Ngororero,female,7436
45-49,12467,Ngororero,male,-5031
50-54,10678,Ngororero,female,6430
50-54,10678,Ngororero,male,-4248
55-59,9477,Ngororero,female,5554
55-59,9477,Ngororero,male,-3923
60-64,9907,Ngororero,female,5827
60-64,9907,Ngororero,male,-4080
65-69,7026,Ngororero,female,4149
65-69,7026,Ngororero,male,-2877
70-74,4235,Ngororero,female,2613
70-74,4235,Ngororero,male,-1622
75-79,2203,Ngororero,female,1497
75-79,2203,Ngororero,male,-706
80-84,1553,Ngororero,female,1089
80-84,1553,Ngororero,male,-464
85+,1645,Ngororero,female,1111
85+,1645,Ngororero,male,-534
0-4,68504,Rusizi,female,34053
0-4,68504,Rusizi,male,-34451
5-9,68220,Rusizi,female,33848
5-9,68220,Rusizi,male,-34372
10-14,60738,Rusizi,female,30339
10-14,60738,Rusizi,male,-30399
15-19,51589,Rusizi,female,25504
15-19,51589,Rusizi,male,-26085
20-24,42075,Rusizi,female,21233
20-24,42075,Rusizi,male,-20842
25-29,32933,Rusizi,female,16702
25-29,32933,Rusizi,male,-16231
30-34,30238,Rusizi,female,15847
30-34,30238,Rusizi,male,-14391
35-39,27834,Rusizi,female,14790
35-39,27834,Rusizi,male,-13044
40-44,25619,Rusizi,female,13777
40-44,25619,Rusizi,male,-11842
45-49,16332,Rusizi,female,8933
45-49,16332,Rusizi,male,-7399
50-54,13566,Rusizi,female,7377
50-54,13566,Rusizi,male,-6189
55-59,11957,Rusizi,female,6445
55-59,11957,Rusizi,male,-5512
60-64,13170,Rusizi,female,7138
60-64,13170,Rusizi,male,-6032
65-69,9564,Rusizi,female,5193
65-69,9564,Rusizi,male,-4371
70-74,6162,Rusizi,female,3395
70-74,6162,Rusizi,male,-2767
75-79,2915,Rusizi,female,1785
75-79,2915,Rusizi,male,-1130
80-84,2081,Rusizi,female,1340
80-84,2081,Rusizi,male,-741
85+,2032,Rusizi,female,1404
85+,2032,Rusizi,male,-628
0-4,57339,Nyamasheke,female,28650
0-4,57339,Nyamasheke,male,-28689
5-9,61621,Nyamasheke,female,30876
5-9,61621,Nyamasheke,male,-30745
10-14,56191,Nyamasheke,female,28104
10-14,56191,Nyamasheke,male,-28087
15-19,48501,Nyamasheke,female,24322
15-19,48501,Nyamasheke,male,-24179
20-24,34686,Nyamasheke,female,18211
20-24,34686,Nyamasheke,male,-16475
25-29,26435,Nyamasheke,female,14140
25-29,26435,Nyamasheke,male,-12295
30-34,25311,Nyamasheke,female,14075
30-34,25311,Nyamasheke,male,-11236
35-39,25356,Nyamasheke,female,14124
35-39,25356,Nyamasheke,male,-11232
40-44,23144,Nyamasheke,female,13152
40-44,23144,Nyamasheke,male,-9992
45-49,15913,Nyamasheke,female,9217
45-49,15913,Nyamasheke,male,-6696
50-54,13090,Nyamasheke,female,7399
50-54,13090,Nyamasheke,male,-5691
55-59,11354,Nyamasheke,female,6529
55-59,11354,Nyamasheke,male,-4825
60-64,12333,Nyamasheke,female,7070
60-64,12333,Nyamasheke,male,-5263
65-69,9023,Nyamasheke,female,5054
65-69,9023,Nyamasheke,male,-3969
70-74,6060,Nyamasheke,female,3389
70-74,6060,Nyamasheke,male,-2671
75-79,3135,Nyamasheke,female,1912
75-79,3135,Nyamasheke,male,-1223
80-84,2485,Nyamasheke,female,1616
80-84,2485,Nyamasheke,male,-869
85+,2244,Nyamasheke,female,1523
85+,2244,Nyamasheke,male,-721
0-4,44841,Rulindo,female,22334
0-4,44841,Rulindo,male,-22507
5-9,46747,Rulindo,female,23495
5-9,46747,Rulindo,male,-23252
10-14,40029,Rulindo,female,20079
10-14,40029,Rulindo,male,-19950
15-19,39576,Rulindo,female,19760
15-19,39576,Rulindo,male,-19816
20-24,29950,Rulindo,female,15377
20-24,29950,Rulindo,male,-14573
25-29,26072,Rulindo,female,13797
25-29,26072,Rulindo,male,-12275
30-34,24895,Rulindo,female,13252
30-34,24895,Rulindo,male,-11643
35-39,24792,Rulindo,female,12995
35-39,24792,Rulindo,male,-11797
40-44,21010,Rulindo,female,11282
40-44,21010,Rulindo,male,-9728
45-49,14131,Rulindo,female,8141
45-49,14131,Rulindo,male,-5990
50-54,11485,Rulindo,female,6569
50-54,11485,Rulindo,male,-4916
55-59,9406,Rulindo,female,5276
55-59,9406,Rulindo,male,-4130
60-64,9309,Rulindo,female,5206
60-64,9309,Rulindo,male,-4103
65-69,6866,Rulindo,female,3819
65-69,6866,Rulindo,male,-3047
70-74,4722,Rulindo,female,2789
70-74,4722,Rulindo,male,-1933
75-79,2511,Rulindo,female,1579
75-79,2511,Rulindo,male,-932
80-84,1868,Rulindo,female,1199
80-84,1868,Rulindo,male,-669
85+,1934,Rulindo,female,1346
85+,1934,Rulindo,male,-588
0-4,42160,Gakenke,female,21032
0-4,42160,Gakenke,male,-21128
5-9,45012,Gakenke,female,22494
5-9,45012,Gakenke,male,-22518
10-14,41218,Gakenke,female,20610
10-14,41218,Gakenke,male,-20608
15-19,43602,Gakenke,female,22038
15-19,43602,Gakenke,male,-21564
20-24,31508,Gakenke,female,16522
20-24,31508,Gakenke,male,-14986
25-29,24161,Gakenke,female,12710
25-29,24161,Gakenke,male,-11451
30-34,25014,Gakenke,female,13378
30-34,25014,Gakenke,male,-11636
35-39,26026,Gakenke,female,14071
35-39,26026,Gakenke,male,-11955
40-44,20922,Gakenke,female,11954
40-44,20922,Gakenke,male,-8968
45-49,13305,Gakenke,female,7849
45-49,13305,Gakenke,male,-5456
50-54,11451,Gakenke,female,6533
50-54,11451,Gakenke,male,-4918
55-59,9783,Gakenke,female,5478
55-59,9783,Gakenke,male,-4305
60-64,10395,Gakenke,female,5810
60-64,10395,Gakenke,male,-4585
65-69,7635,Gakenke,female,4279
65-69,7635,Gakenke,male,-3356
70-74,5650,Gakenke,female,3281
70-74,5650,Gakenke,male,-2369
75-79,2931,Gakenke,female,1789
75-79,2931,Gakenke,male,-1142
80-84,2249,Gakenke,female,1398
80-84,2249,Gakenke,male,-851
85+,2270,Gakenke,female,1466
85+,2270,Gakenke,male,-804
0-4,59172,Musanze,female,29718
0-4,59172,Musanze,male,-29454
5-9,59846,Musanze,female,30087
5-9,59846,Musanze,male,-29759
10-14,52880,Musanze,female,26619
10-14,52880,Musanze,male,-26261
15-19,55904,Musanze,female,28911
15-19,55904,Musanze,male,-26993
20-24,45153,Musanze,female,23417
20-24,45153,Musanze,male,-21736
25-29,40826,Musanze,female,21110
25-29,40826,Musanze,male,-19716
30-34,38997,Musanze,female,20035
30-34,38997,Musanze,male,-18962
35-39,32415,Musanze,female,16764
35-39,32415,Musanze,male,-15651
40-44,25073,Musanze,female,13448
40-44,25073,Musanze,male,-11625
45-49,15268,Musanze,female,8588
45-49,15268,Musanze,male,-6680
50-54,11945,Musanze,female,6636
50-54,11945,Musanze,male,-5309
55-59,10044,Musanze,female,5737
55-59,10044,Musanze,male,-4307
60-64,9890,Musanze,female,5897
60-64,9890,Musanze,male,-3993
65-69,7047,Musanze,female,4300
65-69,7047,Musanze,male,-2747
70-74,5063,Musanze,female,3191
70-74,5063,Musanze,male,-1872
75-79,2823,Musanze,female,1883
75-79,2823,Musanze,male,-940
80-84,2056,Musanze,female,1378
80-84,2056,Musanze,male,-678
85+,2120,Musanze,female,1463
85+,2120,Musanze,male,-657
0-4,47992,Burera,female,23893
0-4,47992,Burera,male,-24099
5-9,52512,Burera,female,26565
5-9,52512,Burera,male,-25947
10-14,44998,Burera,female,22660
10-14,44998,Burera,male,-22338
15-19,48619,Burera,female,24717
15-19,48619,Burera,male,-23902
20-24,38806,Burera,female,20010
20-24,38806,Burera,male,-18796
25-29,29282,Burera,female,14926
25-29,29282,Burera,male,-14356
30-34,25560,Burera,female,13372
30-34,25560,Burera,male,-12188
35-39,22659,Burera,female,11775
35-39,22659,Burera,male,-10884
40-44,18110,Burera,female,9845
40-44,18110,Burera,male,-8265
45-49,12474,Burera,female,7308
45-49,12474,Burera,male,-5166
50-54,10302,Burera,female,5889
50-54,10302,Burera,male,-4413
55-59,9027,Burera,female,5107
55-59,9027,Burera,male,-3920
60-64,9114,Burera,female,5379
60-64,9114,Burera,male,-3735
65-69,6642,Burera,female,3951
65-69,6642,Burera,male,-2691
70-74,4800,Burera,female,2935
70-74,4800,Burera,male,-1865
75-79,2738,Burera,female,1777
75-79,2738,Burera,male,-961
80-84,2031,Burera,female,1394
80-84,2031,Burera,male,-637
85+,2063,Burera,female,1444
85+,2063,Burera,male,-619
0-4,55663,Gicumbi,female,27814
0-4,55663,Gicumbi,male,-27849
5-9,56394,Gicumbi,female,28237
5-9,56394,Gicumbi,male,-28157
10-14,50284,Gicumbi,female,25272
10-14,50284,Gicumbi,male,-25012
15-19,53191,Gicumbi,female,26805
15-19,53191,Gicumbi,male,-26386
20-24,41977,Gicumbi,female,21623
20-24,41977,Gicumbi,male,-20354
25-29,32982,Gicumbi,female,16681
25-29,32982,Gicumbi,male,-16301
30-34,29271,Gicumbi,female,15107
30-34,29271,Gicumbi,male,-14164
35-39,28335,Gicumbi,female,14638
35-39,28335,Gicumbi,male,-13697
40-44,22758,Gicumbi,female,12084
40-44,22758,Gicumbi,male,-10674
45-49,17341,Gicumbi,female,9879
45-49,17341,Gicumbi,male,-7462
50-54,15061,Gicumbi,female,8300
50-54,15061,Gicumbi,male,-6761
55-59,11440,Gicumbi,female,6262
55-59,11440,Gicumbi,male,-5178
60-64,11445,Gicumbi,female,6315
60-64,11445,Gicumbi,male,-5130
65-69,8441,Gicumbi,female,4592
65-69,8441,Gicumbi,male,-3849
70-74,5754,Gicumbi,female,3372
70-74,5754,Gicumbi,male,-2382
75-79,3234,Gicumbi,female,2034
75-79,3234,Gicumbi,male,-1200
80-84,2669,Gicumbi,female,1672
80-84,2669,Gicumbi,male,-997
85+,2584,Gicumbi,female,1748
85+,2584,Gicumbi,male,-836
0-4,61616,Rwamagana,female,30792
0-4,61616,Rwamagana,male,-30824
5-9,61077,Rwamagana,female,30377
5-9,61077,Rwamagana,male,-30700
10-14,55739,Rwamagana,female,28072
10-14,55739,Rwamagana,male,-27667
15-19,52006,Rwamagana,female,26029
15-19,52006,Rwamagana,male,-25977
20-24,41436,Rwamagana,female,19925
20-24,41436,Rwamagana,male,-21511
25-29,39360,Rwamagana,female,18696
25-29,39360,Rwamagana,male,-20664
30-34,38958,Rwamagana,female,18847
30-34,38958,Rwamagana,male,-20111
35-39,33484,Rwamagana,female,15717
35-39,33484,Rwamagana,male,-17767
40-44,27827,Rwamagana,female,13367
40-44,27827,Rwamagana,male,-14460
45-49,18883,Rwamagana,female,9658
45-49,18883,Rwamagana,male,-9225
50-54,14940,Rwamagana,female,7658
50-54,14940,Rwamagana,male,-7282
55-59,11310,Rwamagana,female,5846
55-59,11310,Rwamagana,male,-5464
60-64,10006,Rwamagana,female,5321
60-64,10006,Rwamagana,male,-4685
65-69,6775,Rwamagana,female,3735
65-69,6775,Rwamagana,male,-3040
70-74,4960,Rwamagana,female,2889
70-74,4960,Rwamagana,male,-2071
75-79,2687,Rwamagana,female,1676
75-79,2687,Rwamagana,male,-1011
80-84,2059,Rwamagana,female,1308
80-84,2059,Rwamagana,male,-751
85+,1830,Rwamagana,female,1246
85+,1830,Rwamagana,male,-584
0-4,93991,Nyagatare,female,46822
0-4,93991,Nyagatare,male,-47169
5-9,89334,Nyagatare,female,44400
5-9,89334,Nyagatare,male,-44934
10-14,79330,Nyagatare,female,39586
10-14,79330,Nyagatare,male,-39744
15-19,78417,Nyagatare,female,38749
15-19,78417,Nyagatare,male,-39668
20-24,59249,Nyagatare,female,30427
20-24,59249,Nyagatare,male,-28822
25-29,47444,Nyagatare,female,24177
25-29,47444,Nyagatare,male,-23267
30-34,42002,Nyagatare,female,21691
30-34,42002,Nyagatare,male,-20311
35-39,38838,Nyagatare,female,20207
35-39,38838,Nyagatare,male,-18631
40-44,31363,Nyagatare,female,16963
40-44,31363,Nyagatare,male,-14400
45-49,23494,Nyagatare,female,13205
45-49,23494,Nyagatare,male,-10289
50-54,19121,Nyagatare,female,10435
50-54,19121,Nyagatare,male,-8686
55-59,14686,Nyagatare,female,7995
55-59,14686,Nyagatare,male,-6691
60-64,13887,Nyagatare,female,7486
60-64,13887,Nyagatare,male,-6401
65-69,8598,Nyagatare,female,4708
65-69,8598,Nyagatare,male,-3890
70-74,5931,Nyagatare,female,3333
70-74,5931,Nyagatare,male,-2598
75-79,3279,Nyagatare,female,1939
75-79,3279,Nyagatare,male,-1340
80-84,2359,Nyagatare,female,1399
80-84,2359,Nyagatare,male,-960
85+,2538,Nyagatare,female,1599
85+,2538,Nyagatare,male,-939
0-4,72855,Gatsibo,female,36373
0-4,72855,Gatsibo,male,-36482
5-9,74630,Gatsibo,female,37557
5-9,74630,Gatsibo,male,-37073
10-14,68623,Gatsibo,female,34547
10-14,68623,Gatsibo,male,-34076
15-19,66476,Gatsibo,female,32886
15-19,66476,Gatsibo,male,-33590
20-24,47374,Gatsibo,female,24566
20-24,47374,Gatsibo,male,-22808
25-29,37806,Gatsibo,female,19654
25-29,37806,Gatsibo,male,-18152
30-34,35693,Gatsibo,female,18754
30-34,35693,Gatsibo,male,-16939
35-39,32867,Gatsibo,female,17268
35-39,32867,Gatsibo,male,-15599
40-44,27496,Gatsibo,female,14848
40-44,27496,Gatsibo,male,-12648
45-49,20682,Gatsibo,female,11798
45-49,20682,Gatsibo,male,-8884
50-54,17704,Gatsibo,female,9857
50-54,17704,Gatsibo,male,-7847
55-59,13404,Gatsibo,female,7567
55-59,13404,Gatsibo,male,-5837
60-64,12755,Gatsibo,female,7212
60-64,12755,Gatsibo,male,-5543
65-69,8646,Gatsibo,female,4970
65-69,8646,Gatsibo,male,-3676
70-74,5950,Gatsibo,female,3498
70-74,5950,Gatsibo,male,-2452
75-79,3353,Gatsibo,female,2164
75-79,3353,Gatsibo,male,-1189
80-84,2469,Gatsibo,female,1593
80-84,2469,Gatsibo,male,-876
85+,2381,Gatsibo,female,1591
85+,2381,Gatsibo,male,-790
0-4,61476,Kayonza,female,30456
0-4,61476,Kayonza,male,-31020
5-9,61167,Kayonza,female,30367
5-9,61167,Kayonza,male,-30800
10-14,58006,Kayonza,female,28828
10-14,58006,Kayonza,male,-29178
15-19,54415,Kayonza,female,26947
15-19,54415,Kayonza,male,-27468
20-24,39008,Kayonza,female,20136
20-24,39008,Kayonza,male,-18872
25-29,31364,Kayonza,female,16388
25-29,31364,Kayonza,male,-14976
30-34,30846,Kayonza,female,16015
30-34,30846,Kayonza,male,-14831
35-39,26857,Kayonza,female,14018
35-39,26857,Kayonza,male,-12839
40-44,24158,Kayonza,female,13109
40-44,24158,Kayonza,male,-11049
45-49,17097,Kayonza,female,9576
45-49,17097,Kayonza,male,-7521
50-54,14159,Kayonza,female,7863
50-54,14159,Kayonza,male,-6296
55-59,10824,Kayonza,female,5969
55-59,10824,Kayonza,male,-4855
60-64,10021,Kayonza,female,5643
60-64,10021,Kayonza,male,-4378
65-69,6578,Kayonza,female,3741
65-69,6578,Kayonza,male,-2837
70-74,4703,Kayonza,female,2716
70-74,4703,Kayonza,male,-1987
75-79,2769,Kayonza,female,1622
75-79,2769,Kayonza,male,-1147
80-84,1923,Kayonza,female,1169
80-84,1923,Kayonza,male,-754
85+,1785,Kayonza,female,1145
85+,1785,Kayonza,male,-640
0-4,61999,Kirehe,female,30856
0-4,61999,Kirehe,male,-31143
5-9,61016,Kirehe,female,30513
5-9,61016,Kirehe,male,-30503
10-14,58034,Kirehe,female,28757
10-14,58034,Kirehe,male,-29277
15-19,55443,Kirehe,female,27852
15-19,55443,Kirehe,male,-27591
20-24,40142,Kirehe,female,20817
20-24,40142,Kirehe,male,-19325
25-29,31451,Kirehe,female,16364
25-29,31451,Kirehe,male,-15087
30-34,31145,Kirehe,female,16309
30-34,31145,Kirehe,male,-14836
35-39,28129,Kirehe,female,15092
35-39,28129,Kirehe,male,-13037
40-44,22782,Kirehe,female,12570
40-44,22782,Kirehe,male,-10212
45-49,16787,Kirehe,female,9331
45-49,16787,Kirehe,male,-7456
50-54,13701,Kirehe,female,7611
50-54,13701,Kirehe,male,-6090
55-59,10874,Kirehe,female,6139
55-59,10874,Kirehe,male,-4735
60-64,10612,Kirehe,female,5947
60-64,10612,Kirehe,male,-4665
65-69,7198,Kirehe,female,4084
65-69,7198,Kirehe,male,-3114
70-74,4962,Kirehe,female,2863
70-74,4962,Kirehe,male,-2099
75-79,2889,Kirehe,female,1765
75-79,2889,Kirehe,male,-1124
80-84,1823,Kirehe,female,1062
80-84,1823,Kirehe,male,-761
85+,1873,Kirehe,female,1165
85+,1873,Kirehe,male,-708
0-4,52523,Ngoma,female,26009
0-4,52523,Ngoma,male,-26514
5-9,52538,Ngoma,female,26299
5-9,52538,Ngoma,male,-26239
10-14,52794,Ngoma,female,26174
10-14,52794,Ngoma,male,-26620
15-19,47120,Ngoma,female,23199
15-19,47120,Ngoma,male,-23921
20-24,30574,Ngoma,female,16034
20-24,30574,Ngoma,male,-14540
25-29,25695,Ngoma,female,13953
25-29,25695,Ngoma,male,-11742
30-34,27165,Ngoma,female,14571
30-34,27165,Ngoma,male,-12594
35-39,25517,Ngoma,female,14095
35-39,25517,Ngoma,male,-11422
40-44,22557,Ngoma,female,12240
40-44,22557,Ngoma,male,-10317
45-49,15692,Ngoma,female,8849
45-49,15692,Ngoma,male,-6843
50-54,13226,Ngoma,female,7400
50-54,13226,Ngoma,male,-5826
55-59,10440,Ngoma,female,5899
55-59,10440,Ngoma,male,-4541
60-64,10039,Ngoma,female,5736
60-64,10039,Ngoma,male,-4303
65-69,6756,Ngoma,female,3909
65-69,6756,Ngoma,male,-2847
70-74,4754,Ngoma,female,2768
70-74,4754,Ngoma,male,-1986
75-79,2759,Ngoma,female,1695
75-79,2759,Ngoma,male,-1064
80-84,2068,Ngoma,female,1303
80-84,2068,Ngoma,male,-765
85+,1831,Ngoma,female,1195
85+,1831,Ngoma,male,-636
0-4,80033,Bugesera,female,39964
0-4,80033,Bugesera,male,-40069
5-9,74730,Bugesera,female,37174
5-9,74730,Bugesera,male,-37556
10-14,65034,Bugesera,female,32267
10-14,65034,Bugesera,male,-32767
15-19,60886,Bugesera,female,30860
15-19,60886,Bugesera,male,-30026
20-24,46017,Bugesera,female,23077
20-24,46017,Bugesera,male,-22940
25-29,41051,Bugesera,female,20812
25-29,41051,Bugesera,male,-20239
30-34,41151,Bugesera,female,20814
30-34,41151,Bugesera,male,-20337
35-39,37304,Bugesera,female,18621
35-39,37304,Bugesera,male,-18683
40-44,31442,Bugesera,female,15929
40-44,31442,Bugesera,male,-15513
45-49,18229,Bugesera,female,9524
45-49,18229,Bugesera,male,-8705
50-54,13899,Bugesera,female,7151
50-54,13899,Bugesera,male,-6748
55-59,10686,Bugesera,female,5705
55-59,10686,Bugesera,male,-4981
60-64,10676,Bugesera,female,6023
60-64,10676,Bugesera,male,-4653
65-69,7616,Bugesera,female,4411
65-69,7616,Bugesera,male,-3205
70-74,5559,Bugesera,female,3179
70-74,5559,Bugesera,male,-2380
75-79,2960,Bugesera,female,1813
75-79,2960,Bugesera,male,-1147
80-84,2024,Bugesera,female,1220
80-84,2024,Bugesera,male,-804
85+,1806,Bugesera,female,1091
85+,1806,Bugesera,male,-715
